contract,name,label
8c6ba908-7f63-45c9-ad41-a9a0ff1d3321,8c6ba908-7f63-45c9-ad41-a9a0ff1d3321_site1,Handpump 1
8c6ba908-7f63-45c9-ad41-a9a0ff1d3321,8c6ba908-7f63-45c9-ad41-a9a0ff1d3321_site2,Handpump 2
8c6ba908-7f63-45c9-ad41-a9a0ff1d3321,8c6ba908-7f63-45c9-ad41-a9a0ff1d3321_site3,Handpump 3
fdf2db6f-0037-4d6d-9db1-cd4c744a3879,fdf2db6f-0037-4d6d-9db1-cd4c744a3879_site1,UW DWSS 1
fdf2db6f-0037-4d6d-9db1-cd4c744a3879,fdf2db6f-0037-4d6d-9db1-cd4c744a3879_site2,UW DWSS 2
cdba6759-b0d7-4e0d-9070-ffadca5be986,cdba6759-b0d7-4e0d-9070-ffadca5be986_site1,Solar system in Pemba
8ce28508-9610-40d9-a1ce-1276405e234d,8ce28508-9610-40d9-a1ce-1276405e234d_site1,School no 1
8ce28508-9610-40d9-a1ce-1276405e234d,8ce28508-9610-40d9-a1ce-1276405e234d_site2,school no 2
8ce28508-9610-40d9-a1ce-1276405e234d,8ce28508-9610-40d9-a1ce-1276405e234d_site3,School 3
